expected_speed,predicted_speed,angle,error
31.78,31.257500000000004,-0.552,11
31.560000000000002,30.955000000000002,-0.552,11
31.339999999999996,30.9,-0.552,11
31.119999999999997,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.940000000000005,31.034999999999997,-0.552,9
30.940000000000005,30.9,-1.104,11
30.940000000000005,30.9,-0.552,11
30.939999999999998,30.9,-0.552,11
30.939999999999998,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.860000000000003,30.765000000000015,-1.104,13
30.860000000000003,30.9,-0.552,11
